utterance_id,frame_received,speaker_id,text,start_frame,stop_frame,audio_file
47,9216,Group,That looks good to me,9140,9216,wtd_inputs\group1\chunks\chunk0047.wav
48,9369,Group,Uh blue yeah so you said purple,9248,9369,wtd_inputs\group1\chunks\chunk0048.wav
49,9654,Group,Ok we have finished and we were correct,9561,9654,wtd_inputs\group1\chunks\chunk0049.wav
50,10412,Group,Yeah because if you feel the yellow one,10261,10412,wtd_inputs\group1\chunks\chunk0050.wav
51,10792,Group,Ok so we got this ok,10630,10792,wtd_inputs\group1\chunks\chunk0051.wav
52,10952,Group,Ooh that seems pretty good pretty close to me,10836,10952,wtd_inputs\group1\chunks\chunk0052.wav
53,11417,Group,Yeah try picking these two up and you can close your eyes and try to hold it from the,11216,11417,wtd_inputs\group1\chunks\chunk0053.wav
54,11508,Group,Yeah same point maybe,11444,11508,wtd_inputs\group1\chunks\chunk0054.wav
55,11652,Group,I don't know its hard,11511,11652,wtd_inputs\group1\chunks\chunk0055.wav
56,12600,Group,And na that's freaking that's way,12502,12600,wtd_inputs\group1\chunks\chunk0056.wav
57,12914,Group,Yeah that feels pretty pretty similar to me and try switching it left hand right hand maybe,12716,12914,wtd_inputs\group1\chunks\chunk0057.wav
58,13928,Group,Uh yeah so should we press the blue arrow,13807,13928,wtd_inputs\group1\chunks\chunk0058.wav
59,14578,Group,That was not quite correct ok,14451,14578,wtd_inputs\group1\chunks\chunk0059.wav
60,15084,Group,Oh yeah that is where we were at,14871,15084,wtd_inputs\group1\chunks\chunk0060.wav
61,15338,Group,The thing that sucks is that now we are finding about like torque and different other,15147,15338,wtd_inputs\group1\chunks\chunk0061.wav
62,15434,Group,Perceptions of uh,15339,15434,wtd_inputs\group1\chunks\chunk0062.wav
63,16118,Group,I wonder like I don't know what that one,15990,16118,wtd_inputs\group1\chunks\chunk0063.wav
64,16243,Group,God yeah balances is hard,16145,16243,wtd_inputs\group1\chunks\chunk0064.wav
65,16378,Group,So I think definitely it's either,16252,16378,wtd_inputs\group1\chunks\chunk0065.wav
66,16635,Group,It's this or this because we can't even make these weights so it could be above them I know but like if we are thinking it's so close to a hundred,16386,16635,wtd_inputs\group1\chunks\chunk0066.wav
67,16850,Group,Are probably errors within 20,16667,16850,wtd_inputs\group1\chunks\chunk0067.wav
68,17307,Group,Yeah,17247,17307,wtd_inputs\group1\chunks\chunk0068.wav
69,17462,Group,Yeah it's just weird,17366,17462,wtd_inputs\group1\chunks\chunk0069.wav
70,18062,Group,I don't know I guess I would vote one of these two but what do you guys think,17695,18062,wtd_inputs\group1\chunks\chunk0070.wav
71,18702,Group,Do you want to try one 20 then,18564,18702,wtd_inputs\group1\chunks\chunk0071.wav
72,19238,Group,Eighty grams wow,18917,19238,wtd_inputs\group1\chunks\chunk0072.wav
73,19570,Group,Yeah it's gotta be something to do with the verticality of this but yeah we  failed,19253,19570,wtd_inputs\group1\chunks\chunk0073.wav
74,20374,Group,They didn't send us the next block,20314,20374,wtd_inputs\group1\chunks\chunk0074.wav
75,20598,Group,So we ok,20376,20598,wtd_inputs\group1\chunks\chunk0075.wav
76,20771,Group,Two oppurtunites to estimate the weight of the second block explain one,20608,20771,wtd_inputs\group1\chunks\chunk0076.wav
77,20918,Group,That's 20 ok um,20849,20918,wtd_inputs\group1\chunks\chunk0077.wav
78,21040,Group,Explain in one to two sentence what I determined,20919,21040,wtd_inputs\group1\chunks\chunk0078.wav
79,21212,Group,Ok yeah so we got one one two,21066,21212,wtd_inputs\group1\chunks\chunk0079.wav
80,21367,Group,Three three plus two is five five plus two,21221,21367,wtd_inputs\group1\chunks\chunk0080.wav
81,21953,Group,It's F I B O,21890,21953,wtd_inputs\group1\chunks\chunk0081.wav
82,22170,Group,And then N N or N A C C I yeah I need to resee it ,21982,22170,wtd_inputs\group1\chunks\chunk0082.wav
83,22245,Group,Yeah,22185,22245,wtd_inputs\group1\chunks\chunk0083.wav
84,22368,Group,Pattern was recognized I guess,22298,22368,wtd_inputs\group1\chunks\chunk0084.wav
85,22736,Group,Um yeah let's I think that's fine,22643,22736,wtd_inputs\group1\chunks\chunk0085.wav
86,23140,Group,It was wow ok we we got that one correct because of mister power work ,22812,23140,wtd_inputs\group1\chunks\chunk0086.wav
87,23506,Group,That's why you need three minds,23404,23506,wtd_inputs\group1\chunks\chunk0087.wav
88,23634,Group,Eighty grams  ,23579,23634,wtd_inputs\group1\chunks\chunk0088.wav
89,2915,Group,It seems pretty balanced,2855,2915,wtd_inputs\group1\chunks\chunk0089.wav
90,4915,Group,So fourty pounds,4788,4915,wtd_inputs\group1\chunks\chunk0090.wav
91,5159,Group,50 pounds or pounds grams,4931,5159,wtd_inputs\group1\chunks\chunk0091.wav
92,5893,Group,Sixty here,5643,5893,wtd_inputs\group1\chunks\chunk0092.wav
93,8177,Group,Yeah 50 so we say yellow is 50,8027,8177,wtd_inputs\group1\chunks\chunk0093.wav
94,8409,Group,And green is 20 ok so which one is blue and which one is purple,8227,8409,wtd_inputs\group1\chunks\chunk0094.wav
95,8774,Group,30,8596,8774,wtd_inputs\group1\chunks\chunk0095.wav
96,12311,Group,It is definitely denser which could be skewing,12227,12311,wtd_inputs\group1\chunks\chunk0096.wav
97,12375,Group,Our perception of it,12315,12375,wtd_inputs\group1\chunks\chunk0097.wav
98,13275,Group,Yeah I think its,13212,13275,wtd_inputs\group1\chunks\chunk0098.wav
99,13634,Group,It feels really similar and that's a hundred grams,13280,13634,wtd_inputs\group1\chunks\chunk0099.wav
100,14197,Group,We're on this screen right now should we go onto the next one,13939,14197,wtd_inputs\group1\chunks\chunk0100.wav
101,14396,Group,Two attempts a hundred will it tell us if we get it right or wrong ok,14201,14396,wtd_inputs\group1\chunks\chunk0101.wav
102,14690,Group,I think it's more if it's anything,14613,14690,wtd_inputs\group1\chunks\chunk0102.wav
103,14862,Group,That's less right now,14732,14862,wtd_inputs\group1\chunks\chunk0103.wav
104,18259,Group,It feels close I just can't tell if like,18117,18259,wtd_inputs\group1\chunks\chunk0104.wav
105,21882,Group,Um I have no idea how to spell Fibonacci,21723,21882,wtd_inputs\group1\chunks\chunk0105.wav
106,3960,Group,Ok so this one is probably 20 10 10 20,3820,3960,wtd_inputs\group1\chunks\chunk0106.wav
107,6064,Group,How much is the dark blue small one 10,5944,6064,wtd_inputs\group1\chunks\chunk0107.wav
108,8020,Group,Yo that's close enough ok so,7947,8020,wtd_inputs\group1\chunks\chunk0108.wav
109,8587,Group,I think this one is purple and this one is blue,8437,8587,wtd_inputs\group1\chunks\chunk0109.wav
110,9560,Group,Purple is 30 red is 20 yellow is 50,9387,9560,wtd_inputs\group1\chunks\chunk0110.wav
111,10581,Group,Definitely heavier,10521,10581,wtd_inputs\group1\chunks\chunk0111.wav
112,11039,Group,How much was purple 30,10964,11039,wtd_inputs\group1\chunks\chunk0112.wav
113,11120,Group,Purple was 30,11061,11120,wtd_inputs\group1\chunks\chunk0113.wav
114,11185,Group,And yellow was 50,11125,11185,wtd_inputs\group1\chunks\chunk0114.wav
115,11989,Group,This one feels heavier still add like 10 to this side I think,11838,11989,wtd_inputs\group1\chunks\chunk0115.wav
116,12206,Group,It still feels heavier but it could just be,12084,12206,wtd_inputs\group1\chunks\chunk0116.wav
117,12474,Group,So right now that's ninety grams,12402,12474,wtd_inputs\group1\chunks\chunk0117.wav
118,12701,Group,That's a hundred,12628,12701,wtd_inputs\group1\chunks\chunk0118.wav
119,13071,Group,That does feel pretty similar give it a shot,12979,13071,wtd_inputs\group1\chunks\chunk0119.wav
120,13778,Group,30 20,13661,13778,wtd_inputs\group1\chunks\chunk0120.wav
121,15577,Group,I still think the brown one is heavier than this,15510,15577,wtd_inputs\group1\chunks\chunk0121.wav
122,15827,Group,It's hard to balance them,15716,15827,wtd_inputs\group1\chunks\chunk0122.wav
123,16957,Group,No that doesn't do anything,16862,16957,wtd_inputs\group1\chunks\chunk0123.wav
124,17241,Group,I would say either a hundred 20 or a hundred 30 because I feel like it would be possible for it to be out of range of what we can measure but,16967,17241,wtd_inputs\group1\chunks\chunk0124.wav
125,18382,Group,So right now this is one-20,18270,18382,wtd_inputs\group1\chunks\chunk0125.wav
126,18840,Group,Yeah it's either one 20 or one 30 for me so I think one 20 would be the best guess,18702,18840,wtd_inputs\group1\chunks\chunk0126.wav
127,21717,Group,Eight eight plus five is one hundred 30,21378,21717,wtd_inputs\group1\chunks\chunk0127.wav
128,22603,Group,Can't be like three other patterns that people can do,22451,22603,wtd_inputs\group1\chunks\chunk0128.wav
129,23231,Group,Yeah no I wouldn't have thought of that,23148,23231,wtd_inputs\group1\chunks\chunk0129.wav
